case,seed,tag,mode,status,input_tokens,output_tokens,finish_reason,eos_reached,wall_time_seconds,output_tokens_per_second,spec_accept_rate,spec_accept_length,spec_verify_ct,lossy_method,reached_final_channel,server_request_ordinal,threshold_acc,output_chars,output_path
case_009,0,strict,strict,ok,178,2916,stop,True,9.22,316.13,,,,,True,1,,8287,runs/aime24_fresh/case_009/seed_0/strict/output.txt
case_010,0,lenience0p2,lossy,ok,205,1082,stop,True,2.73,395.63,,,,lenience,True,1,,3411,runs/aime24_fresh/case_010/seed_0/lenience0p2/output.txt
case_010,0,strict,strict,ok,205,1518,stop,True,4.42,343.08,,,,,True,1,,4811,runs/aime24_fresh/case_010/seed_0/strict/output.txt
case_011,0,lenience0p2,lossy,ok,152,9521,stop,True,21.87,435.28,,,,lenience,True,1,,28808,runs/aime24_fresh/case_011/seed_0/lenience0p2/output.txt
case_011,0,strict,strict,ok,152,4727,stop,True,14.92,316.77,,,,,True,1,,14173,runs/aime24_fresh/case_011/seed_0/strict/output.txt
case_012,0,lenience0p2,lossy,ok,135,3804,stop,True,8.87,428.98,,,,lenience,True,1,,13878,runs/aime24_fresh/case_012/seed_0/lenience0p2/output.txt
case_012,0,strict,strict,ok,135,2071,stop,True,6.91,299.84,,,,,True,1,,6654,runs/aime24_fresh/case_012/seed_0/strict/output.txt
case_013,0,lenience0p2,lossy,ok,125,2585,stop,True,5.48,471.52,,,,lenience,True,1,,6152,runs/aime24_fresh/case_013/seed_0/lenience0p2/output.txt
case_013,0,strict,strict,ok,125,1491,stop,True,4.69,318.24,,,,,True,1,,3490,runs/aime24_fresh/case_013/seed_0/strict/output.txt
case_014,0,lenience0p2,lossy,ok,174,19179,stop,True,46.23,414.89,,,,lenience,True,1,,80527,runs/aime24_fresh/case_014/seed_0/lenience0p2/output.txt
case_014,0,strict,strict,ok,174,32768,length,False,128.93,254.14,,,,,False,1,,129713,runs/aime24_fresh/case_014/seed_0/strict/output.txt
case_015,0,lenience0p2,lossy,ok,162,6216,stop,True,14.51,428.33,,,,lenience,True,1,,18006,runs/aime24_fresh/case_015/seed_0/lenience0p2/output.txt
case_015,0,strict,strict,ok,162,4970,stop,True,15.43,322.06,,,,,True,1,,13883,runs/aime24_fresh/case_015/seed_0/strict/output.txt
case_016,0,lenience0p2,lossy,ok,180,9030,stop,True,19.94,452.82,,,,lenience,True,1,,29392,runs/aime24_fresh/case_016/seed_0/lenience0p2/output.txt
case_016,0,strict,strict,ok,180,4346,stop,True,13.36,325.32,,,,,True,1,,12406,runs/aime24_fresh/case_016/seed_0/strict/output.txt
case_017,0,lenience0p2,lossy,ok,135,29202,stop,True,71.26,409.77,,,,lenience,True,1,,83859,runs/aime24_fresh/case_017/seed_0/lenience0p2/output.txt
case_017,0,strict,strict,ok,135,21576,stop,True,70.96,304.08,,,,,True,1,,57376,runs/aime24_fresh/case_017/seed_0/strict/output.txt
case_018,0,lenience0p2,lossy,ok,163,18978,stop,True,43.27,438.61,,,,lenience,True,1,,55099,runs/aime24_fresh/case_018/seed_0/lenience0p2/output.txt
case_018,0,strict,strict,ok,163,5298,stop,True,15.48,342.34,,,,,True,1,,15095,runs/aime24_fresh/case_018/seed_0/strict/output.txt
case_019,0,lenience0p2,lossy,ok,284,32768,length,False,78.62,416.77,,,,lenience,False,1,,123640,runs/aime24_fresh/case_019/seed_0/lenience0p2/output.txt
case_019,0,strict,strict,ok,284,11554,stop,True,36.37,317.68,,,,,True,1,,31415,runs/aime24_fresh/case_019/seed_0/strict/output.txt
case_020,0,lenience0p2,lossy,ok,136,4392,stop,True,9.44,465.01,,,,lenience,True,1,,10264,runs/aime24_fresh/case_020/seed_0/lenience0p2/output.txt
case_020,0,strict,strict,ok,136,3342,stop,True,9.96,335.38,,,,,True,1,,8396,runs/aime24_fresh/case_020/seed_0/strict/output.txt
case_021,0,lenience0p2,lossy,ok,232,17091,stop,True,40.23,424.87,,,,lenience,True,1,,50204,runs/aime24_fresh/case_021/seed_0/lenience0p2/output.txt
case_021,0,strict,strict,ok,232,9852,stop,True,34.38,286.55,,,,,True,1,,30148,runs/aime24_fresh/case_021/seed_0/strict/output.txt
case_022,0,lenience0p2,lossy,ok,242,32768,length,False,82.04,399.41,,,,lenience,False,1,,126052,runs/aime24_fresh/case_022/seed_0/lenience0p2/output.txt
case_022,0,strict,strict,ok,242,8465,stop,True,30.53,277.3,,,,,True,1,,29941,runs/aime24_fresh/case_022/seed_0/strict/output.txt
case_023,0,lenience0p2,lossy,ok,157,10242,stop,True,23.0,445.29,,,,lenience,True,1,,32421,runs/aime24_fresh/case_023/seed_0/lenience0p2/output.txt
case_023,0,strict,strict,ok,157,7786,stop,True,26.4,294.92,,,,,True,1,,26928,runs/aime24_fresh/case_023/seed_0/strict/output.txt
case_024,0,lenience0p2,lossy,ok,212,3495,stop,True,7.94,440.09,,,,lenience,True,1,,9227,runs/aime24_fresh/case_024/seed_0/lenience0p2/output.txt
case_024,0,strict,strict,ok,212,20202,stop,True,60.07,336.33,,,,,True,1,,45059,runs/aime24_fresh/case_024/seed_0/strict/output.txt
case_025,0,lenience0p2,lossy,ok,226,2375,stop,True,5.32,446.64,,,,lenience,True,1,,5214,runs/aime24_fresh/case_025/seed_0/lenience0p2/output.txt
case_025,0,strict,strict,ok,226,3043,stop,True,8.46,359.54,,,,,True,1,,7393,runs/aime24_fresh/case_025/seed_0/strict/output.txt
case_026,0,lenience0p2,lossy,ok,138,32768,length,False,81.31,402.99,,,,lenience,False,1,,116766,runs/aime24_fresh/case_026/seed_0/lenience0p2/output.txt
case_026,0,strict,strict,ok,138,32768,length,False,116.75,280.66,,,,,False,1,,93095,runs/aime24_fresh/case_026/seed_0/strict/output.txt
case_027,0,lenience0p2,lossy,ok,141,2910,stop,True,6.47,449.94,,,,lenience,True,1,,8786,runs/aime24_fresh/case_027/seed_0/lenience0p2/output.txt
case_027,0,strict,strict,ok,141,2191,stop,True,6.67,328.71,,,,,True,1,,6135,runs/aime24_fresh/case_027/seed_0/strict/output.txt
case_028,0,lenience0p2,lossy,ok,151,4900,stop,True,10.72,457.03,,,,lenience,True,1,,11103,runs/aime24_fresh/case_028/seed_0/lenience0p2/output.txt
case_028,0,strict,strict,ok,151,3680,stop,True,11.0,334.41,,,,,True,1,,8186,runs/aime24_fresh/case_028/seed_0/strict/output.txt
case_029,0,lenience0p2,lossy,ok,455,31342,stop,True,73.97,423.69,,,,lenience,True,1,,102410,runs/aime24_fresh/case_029/seed_0/lenience0p2/output.txt
case_029,0,strict,strict,ok,455,10687,stop,True,34.79,307.16,,,,,True,1,,32911,runs/aime24_fresh/case_029/seed_0/strict/output.txt
case_030,0,lenience0p2,lossy,ok,180,32768,length,False,80.82,405.46,,,,lenience,False,1,,137824,runs/aime24_fresh/case_030/seed_0/lenience0p2/output.txt
case_030,0,strict,strict,ok,180,8202,stop,True,30.74,266.78,,,,,True,1,,34451,runs/aime24_fresh/case_030/seed_0/strict/output.txt
